tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 CoronaVirus WorkFromHome WFH Brands Shuttl Furlenco Netflix HotStar AmazonPrime Groffers BigBasket RelianceFresh CultFit Paytm PhonePe Inshorts Truecaller,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 Ghar baithe apne phone pe watch shows watch live TV and play games All for FREE on MX Player Not contagious Only addictive coronavirus covidindia MXPlayer,NOT RELATED,NOT RELATED,,1,NOT RELATED
 GYM STUDIO is CLOSED Upto to Corona Virus Outbreak  It will resume from Sunday Only New Registrations can be availed for the END OF FINANCIAL YEAR OFFER Pay for Gym Anuual Pack Gpay or Phonepe,CONVENIENCE,CONVENIENCE,Help Covid-19,0,HELP-COVID19
 GYM STUDIO is CLOSED Upto to Corona Virus Outbreak  It will resume from Sunday Only New Registrations can be availed for the END OF FINANCIAL YEAR for Gym Anuual Pack Gpay or Phonepe,CONVENIENCE,CONVENIENCE,Help Covid-19,0,HELP-COVID19
 Use online transaction phone pe paytm to prevent from Corona virus Avoid using cash,CONVENIENCE,CONVENIENCE,Request,0,REQUEST
 ysjagan Hello sir corona virus can be spread through currency notes besides how much precautionary measures we take I suggest you to reqeuest people to use digital payments only Paytm phonepe GP etc,REQUEST,REQUEST,Request,1,REQUEST
 Daae ri kin aaenz aana Vogmask Atlanta Honeywell Dettol Himalya Savlon Lifebouy Paytm G pay Phone pe Coronavirus,NULL,NULL,,1,NULL
 PhonePe_ Paytm amazonpay now is the right time to promote your apps Some of the cities are still under-penetrated Using notes and coins may carry the risk of spreading the virus coronainindia coronavirus COVID2019 coronavirusindia,COMPLAINT,COMPLAINT,Request,0,REQUEST
 Coronavirus vs cash advantage to payment apps Paytm PhonePe careempay AAA,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 Currency note travels far and wide and the use plastic money and wallet upi payment should be used extensively as a precaution for coronavirus Paytm PhonePe_ are the way to go Precaution and personal hygiene is the key Stay safe India  coronavirusindia CoronaKoDhona,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 The corona virus is spreading to an extreme extent This is mainly done via banknotes grab them with gloves otherwise use digital payments paytm PhonePe_ GooglePayIndia MobiKwik bharatpeindia amazonpay RuPay_npci NPCI_BHIM,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 digitalpayments Please take extra care for coronavirus while shopping Make digital payments like debit cards upi etc This will help you not to touch currency notes and coins which can be a source for spreading coronavirus GooglePayIndia Paytm PhonePe_ amazonpay MobiKwik,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 Yes Sab set Yahan tou mere phone pe tech news se ziada Coronavirus agaya hay p,NOT RELATED,NOT RELATED,,1,NOT RELATED
 As coronavirus clouds over IPL how PhonePe plans to spend its Rs marketing budget Best Media Info,QUESTION,QUESTION,Help Covid-19,0,HELP-COVID19
 Corona virus phone pe baat karne we bhi transfer ho raha hai kya Can we speak to Chinese people,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Coronavirus can spread via currency notes as well use digitalpayments Paytm PhonePe_ amazonpay MobiKwik airtelbank CoronavirusPandemic SafetyFirst AAA,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 As coronavirus clouds over IPL how PhonePe plans to spend its Rs marketing budget AAA,QUESTION,QUESTION,Help Covid-19,0,QUESTION
 As coronavirus clouds over IPL how PhonePe plans to spend its Rs marketing budget,QUESTION,QUESTION,Help Covid-19,0,QUESTION
 Phone pe coronavirus ki callertune aur Local train main top mobiles ki tone ne jeena haram kar diya hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 StartupStreet ajinkyarahane88 invests in KisanMera How did PhonePe_ battle its service outage after RBI takeover of Yes Bank We speak to CEO Coronavirus outbreak hits India tourism sector AAA,QUESTION,QUESTION,question,1,QUESTION
 STOP USING PAPER MONEY It might be the source of coronavirus Infection Use DIGITAL way to make a transaction PhonePe Paytm GoCorona AAAA,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 One request   since Corona virus can spread through currencies also advise people to use BHIM or wallet  this is the right time to make all people to move to upi,REQUEST,REQUEST,Request,1,REQUEST
 In order to arrest spread of Corona Virus avoid physical contacts with public wherever possible Use UPI or Online payment methods to avoid physical exchange of Currency Beggers Chicken n Mutton shop road side shops most contaminated places Paytm PhonePe_ CoronaAlert,CONVENIENCE,CONVENIENCE,Request,1,CONVENIENCE
 Scindia ke phone pe ab sirf CoronaVirus precaution waale instructions milenge   ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Scindia ke phone pe ab sirf CoronaVirus precaution waale instructions milenge  ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Olibhel  TigerShroff Hinduphobia PhonePe OPPOReno3Pro YesBank COVIDAAA19 coronavirus coronavirusindia,NULL,NULL,,1,NULL
 Phone pe coronavirus ki ringtone lg gyi h sbke,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Free Galaxy S20 giveaway samsung SamsungEvent galaxys20 galaxys10 giveaway free phonegiveaway mobilegiveaway coronavirus phones mobile iphone apple youtube facebook bts uk us world twitter instagram PhonePe lol memes funny freeph,PUBLICITY,PUBLICITY,,1,PUBLICITY
P3 BBB20 COVIDAAA19 CoronavirusInSA toiletpaperpanic coronavirus  yesbankcrisis CoronaVirusChallenge KKvMS PhonePe,NULL,NULL,,1,NULL
 Bhai bura hua tumhare sath par phone pe dekho coronavirus bna hua hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Google pay lo check balance option chupinchatledu Phone pe lo not working ani vastundi What happening guys House teesi corona virus attack chesinda enti,COMPLAINT,COMPLAINT,,1,COMPLAINT
 PhonePe_ I think you r suffering from corona virus Take rest and make the transactions are happily to users early CoronavirusInSA VirusCorona RGVzoomin Keshavpatel GooglePay GooglePayIndia,COMPLAINT,COMPLAINT,Request,0,COMPLAINT
 coronavirus of Indian banking TechCrunch Indias YesBank breakdown disrupts Walmarts PhonePe among a dozen other services  via GoogleNews,LOSS,LOSS,,0,LOSS
 PhonePe ko corona virus laga hai kya,COMPLAINT,COMPLAINT,,0,COMPLAINT
 Coronavirus impact PhonePe,LOSS,LOSS,,0,LOSS
 Her SmilE MadhuriDixit MadhuriDixit Baaghi3 YesBank NoBank coronavirusinindia DeMonetisation Gypsy economiccrisis TigerShroff PhonePe coronavirus RanaKapoor FridayThoughts FridayFeeling FridayVibes fridaymorning goodmorning music Love,NULL,NULL,,1,NULL
 Coronavirus in PhonePe that why PhonePe like this,COMPLAINT,COMPLAINT,,0,COMPLAINT
 More than died in Delhi Riots Coronavirus outbreaks Yes Bank sank Phone Pe unavailable Rupee opened at against the dollar What a terrible week for india,COMPLAINT,COMPLAINT,,0,COMPLAINT
 Coronavirus has hit you really hard First improve ur customer service which is pathetic,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 Sir   first take care of coronavirus You wo n t be left with facilities to run your business ,COMPLAINT,COMPLAINT,,0,COMPLAINT
 First Time Corona Virus Attack Bank Server GooglePayIndia Paytm PaytmBank PhonePe_ amazonIN vijayshekhar,COMPLAINT,COMPLAINT,,0,COMPLAINT
 This is why we Indian are bhai bhai For example PaytmBank welcoming PhonePe_ Waah bc kitna bada dil hai apke paas na daar hai coronavirus ki AAA,PUBLICITY,PUBLICITY,,0,PUBLICITY
 Paytm is already exposed to Corona virus So I really doubt their intentions behind the hug,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Even with coronavirus at its peak nice to see Paytm willing to hug PhonePe_ in crisis Good gesture vijayshekhar AAAAAAAA AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 YesBank yesbankcrisis NoBank RanaKapoor Nifty coronavirus BharatMatrimony PMCBank GodMorningFriday MoneyHeist4 lauvxbts YesToShutdownabscbn GalaxyS20 PhonePe SeethaRAMaRajuCHARAN,NULL,NULL,,1,NULL
 Yes bank down by Phone pe transactions powered by Yes Bank Is PhonePe_ gon na stop for a whileAAA AAA PhonePeSupport yesbankcrisis YesBank StockMarket coronavirus PhonePe rbi SBI,LOSS,LOSS,Yes bank collapse,1,LOSS
 Snapdeal Ko Leke Dooba ab Phir Se PhonePe_ Yes Bank Ko Leke Dubega IntolerantIndiaGang CoronaVirus,LOSS,LOSS,Yes bank collapse,1,LOSS
 Me Mummy mujhse shyd coronavirus ka infection hua h  Mummy Aur lga rhe iss phone pe coronavirusinindia coronavirus,NOT RELATED,NOT RELATED,,1,NOT RELATED
 infected with corona virus  Mummy Poora din phone pe rahega toh aise hi hoga,NOT RELATED,NOT RELATED,,1,NOT RELATED
 gets infected with corona virus  Mom Poora din phone pe rahega toh aise hi hoga,NOT RELATED,NOT RELATED,,1,NOT RELATED
A you cared so much for Chinese coronavirus victims but you care a damn for plight of uighur Muslims such a hypocrite,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Me- Maa mereko shayad corona virus huva hai Maa- Jab din bhar phone pe tha ye toh hona hi tha,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Me Mummy corona virus Mumbai tk aagya Mummy Aur lage rhe phone pe Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Me mummy meko corona virus hogya hai AAAA My mom aur lga reh din bhar phone pe AAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Typical chest thumping nothing else since there are elections in US karo or aage badho I am sure phone pe girgira raha hoga Modi se,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Kingofkuck You have our gratitude That a great step that you taken with support from people like we surely be able to fight Corona and come out strong Also we suggest you remove the screenshot containing the bank account number to avoid misuse AAAAG,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Hello sir Muje aapki madad chahie thi So please say meri e corona viras ke samay me meri help Kare please a mera contect no hai Me apni Sari taklif phone Pe bataungi ya to Aapka phone no Hume send Karo Hume ummid hai Aaj Hume naraj napi karoge,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Me Too phone ko sanitize krna padega  iska ss jp agya mere phone pe Go Corona Corona GO,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Bc rishte dar se galti se phone par baat kya kar li taunt mar ke bolta hai Are beta Ab phone pe baat karne se bhi corona felta hai kya ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Saale R jdeep tujhe dekhta hu to apne phone pe hi thuk deta hu Mere phone ko corona hoga,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Yaar ye news channels corona dikha dikhaa ke manshik rogi banaa diya sab ko mera bhi ek friend raat ko phone pe rone laga uske ghar se km pe ranchi ka first case positive huwa hai wo dar raha hai ki oon logo ka mohalla uske ghar ke hai First step news mat dekho,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Post corona world Lockdown ke months kidhar nikal gaye pata hee nahi chala phone pe beta phone pe  ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Stay at home Stop Corona Save lives Save India,NULL,NULL,,1,NULL
 Lets help India to fight against Corona Your small contribution help us a lot i India,DONATION,DONATION,,0,DONATION
 Stay at home Save India Stop Corona,NULL,NULL,,1,NULL
 Stay at home Stop corona Save live Save India,NULL,NULL,,1,NULL
 Let help India to fight against Corona,NULL,NULL,,1,NULL
 Fight back corona,NULL,NULL,,1,NULL
 Lets help india to fight against Corona i4India PMcares PhonePe DonateKaroNaIndia narendramodi PhonePe_ Vikas11p Kamal74991982 pppankaj_kumar Prasant07297505,DONATION,DONATION,Request,1,DONATION
 I also want to announce Financial assistance of Indain Rupees to US to fight ChineseVirus19 realDonaldTrump Please send your Paytm or PhonePe UPI or send Mike SecPompeo to collect from my home because we are,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 PMOIndia narendramodi mygovindia Sir many of us are willing and ready to contribute whatever we can in PM national relief fund May kindly start accepting contribution via Paytm Google pay phone pe etc Paytm GooglePayIndia PhonePe_ IndiaFightsCoronavirus,DONATION,DONATION,Request,1,DONATION
 upichalega UPI_NPCI PhonePe_ NPCI_NPCI JioCare reliancejio In the situation of this lockdown government is asking to work from home but how Paid for JioFiber connection on March and still I do not have internet connectivity at my home ,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 will prepare food and provide it to the needy and poor people can donate in the cause Upi ybl Paytm phonepe google pay AC transfer Ac no Ifsc CNRB0005309 AC name Sayed Shanul Hassan Canara bank veera desai road,DONATION,DONATION,Help Covid-19,1,DONATION
 Covid_19india PMCaresFunds PhonePe i4India,DONATION,NULL,,1,NULL
 It time to show our responsibility to fight against covid-91 pandemic and a helping hand to the needy,DONATION,DONATION,Request,1,DONATION
 phonepe Phonepesupport i4India Covid19India Covid_19india savelives fightagainstcorona DonateToPMCares donate Hey indians are you contribute Nahi kiyaaa to karonaa Fight against CORONA Donate amount in PM cares through PHONEPE Phonepe adding on every donation,DONATION,DONATION,Donation,1,DONATION
 Your small donation can give a hudge smile on a face So join the phone pe i4India movement to save the nation and fight with corona Donate as much as u can Covid_19india i4India Donation Win_Against_Corona,DONATION,DONATION,Donation,1,DONATION
 PhonePe i4India Covid_19india AAA,NULL,NULL,,1,NULL
 Kamal74991982 Vikas11p PhonePe_ i4India Covid_19india PMCaresFund,NULL,NULL,,1,NULL
 Thanks to PhonePe_ rahulchari9 Vikas11p Abhishe71620765 who initiated i4India moment I urge all citizens to grab opportunity to support the nation and donate PMCaresFunds to donate click DonateKaroNaIndia Covid_19india AAA,REQUEST,REQUEST,Appreciation,0,REQUEST
 There is very nice step by PhonePe_ rahulchari9 Vikas11p Abhishe71620765 who initiated i4India I urge all citizens to grab opportunity to support the nation and donate PMCaresFunds to donate click DonateKaroNaIndia Covid_19india,REQUEST,REQUEST,Appreciation,0,REQUEST
 Great initaive Phonepe ndtvindia PMOIndia upichalega NPCI_BHIM RuPay_npci TheOfficialSBI HMOIndia DainikBhaskar GoogleIndia COVID_Australia PMOIndia PTI_News PTI_News PTI,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Even the most daunting crises Covid present streaks of silver lining In our episode of Against All Odds we had Founder PhonePe_ talk to Blumiers about how to last the course Learnings in our latest blog post here AA AAA,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 day food donate today for homeless people please help if you can StayHomeStaySafe COVID ashokgehlot51 SachinPilot TajinderBagga OmMathur_bjp rpbreakingnews ZeeNews News18Rajasthan We_Are_Jaipur jaipurbeat Contribute now paytm phone pe,REQUEST,REQUEST,Help Covid-19,0,HELP-COVID19
 PhonePe claims to launch cheapest Covid insurance cover in India at Rs which will cover hospitalisation upto Rs santwana99 NewIndianXpress XpressBengaluru,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PhonePe launches COVID Insurance Policy for Rs with a cover of Rs It covers hospitalization costs including scans medicines and appointment fees for days prior to and after hospitalization The policy is generated online with no tests required after purchase,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Your donation will help the Nation Donate how much you can We support India COVIDAAA19 COVID BeatCOVID19 DonatetoPMRFCovid19 PhonePe,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ Is this ethical Are n t MoHFW_INDIA doing treatment for free to Covid_19india patients Are you sure this can be implemented I felt this is cash grab opportunism,HELP-COVID19,HELP-COVID19,Complaint,0,COMPLAINT
 just saw your video on how we can donate crores to fight COVID Just used PhonePe_ to do my bit to give The power of platforms can be massively harnessed Good call AAAA peopleeffectchange,DONATION,DONATION,Help Covid-19,1,DONATION
 A small contribution towards a safer better and stronger India I urge everyone to do our bit for the noble cause PhonePe DonateKaroNaIndia IndiaFightsCornona IndiaVsCorona Covid_19india COVID2019,DONATION,DONATION,Donation,1,DONATION
 Fraud callers statin dat dey callin frm Phonepe givin Rs to support covid affected people Click on d below link select pay option Funds wil b transferred in ur A c Beware of such fraudsters who r takin advantage of dis situation  phonepe PMCaresFunds PayTm,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 GooglePayIndia are you not donating for COVID other upi agents PhonePe_ Paytm are If you are donating please let us know what amount transaction,DONATION,DONATION,question,1,DONATION
 Paytm Paytmcare and PhonePe_ PhonePeSupport both are pledging something extra on our donations Dear GooglePay GooglePayIndia where is your conscience gone I think for you humanity is irrelevant Shame on you PMReliefFund lockdown CoronaUpdate COVID2019india COVID,DONATION,DONATION,question,1,DONATION
 Done sir Donation Donate atleast Rs PHONEPE HAI TO SAB KUCH HAIAAAAAA PhonePe PMCARES DonateKaroNaIndia PhonePe100CrorePledge PhonePe_ SidHearts Sidnazz Covid_19india Covid19India CoronaLockdown chhattisgarh Raigarh HelpFightCorona HelpEachOther,DONATION,DONATION,Donation,1,DONATION
 You right lakh now donors is just of our target But it a HUGE start Even Covid did n t spread this fast Human compassion does spread faster than a damn virus crore Indian CAN donate to PMCARES Fund by April Its our PhonePe_,DONATION,DONATION,Donation,1,DONATION
 KTRTRS sir let us where to donate for cm relief fund QR code phone pe etc digi payment we will donate what ever we could We are in this together COVID,DONATION,DONATION,Donation,1,DONATION
 If I contribute times to pm covid fund then phonepe will contribute or PhonePe_ PhonePeSupport,DONATION,DONATION,Help Covid-19,1,DONATION
 Guys Just to let you know that if You Donate Rs in PMCARES Fund from PhonePe then PhonePe will donate Rs on top of that PhonePe has pledged Rs crore for Covid fight Aabhas24 deeptinag OldModelBullet Shankhdhar__ tu13dekh_1 ParulSinhadel RCT_wale,DONATION,DONATION,Donation,1,DONATION
 PMCaresFund PhonePe donesir Covid_19india COVID2019india,NULL,NULL,Donation,0,NULL
My Contribution To Fight  Against COVID-19 IndiaFightsCorona narendramodi PhonePe_,DONATION,DONATION,Help Covid-19,1,DONATION
 PhonePe_ PhonePeSupport GooglePayIndia Start a window in your app as covid relief donation by taking government permission so that people can contribute how much ever they want coolfunnytshirt KyaUkhaadLega,REQUEST,REQUEST,Request,1,REQUEST
 The best bet is to leverage an existing app with distribution Make it a temporary feature in PhonePe_ or Paytm or swiggy Building a new app and trying to match the viral coeff of covid isnt going to work Contact tracing and permits are features existing apps can enable,REQUEST,REQUEST,Request,1,REQUEST
 why do n t have chief minister relief fund karntaka or prime minister of India relief fund in GooglePayIndia PhonePe_ Covid_19india IndiaFightsCorona,COMPLAINT,COMPLAINT,question,0,COMPLAINT
 Hi GooglePayIndia Paytm PhonePe_ Can you start a campaign for donating the fund for covidindia coronavirusindia COVID2019india COVID,REQUEST,REQUEST,Request,1,REQUEST
 Shut ua company n stay at home vodafonedown improve your network first JanataCurfew we all know what should we do you better take care of ua network COVIDAAA19 Covid_19india COVIDIOTS IndiaFightsCorona,COMPLAINT,COMPLAINT,,0,COMPLAINT
 How cashless economy has impacted the community spread of Covid_19india would be a good study Paytm NPCI_BHIM PhonePe_ COVID2019 CoronavirusPandemic CoronaUpdatesInIndia CoronaChainScare,PUBLICITY,PUBLICITY,Help Covid-19,0,PUBLICITY
 Avoid transcations in coins or notes they potential vectors of transmissible diseases Go cashless Paytm corona PhonePe COVID2019india COVID CoronaStopKaroNa CoronavirusOutbreakindia CoronaVirusUpdate coronavirusindia CoronaInMaharashtra coronavirusinindia,CONVENIENCE,CONVENIENCE,Request,0,CONVENIENCE
 Now all these are starting ignore the problem of their customers CoronavirusInSA TrumpIsAnIdiot yesbankcrisis PhonePe FinanceMinister Baaghi3MovieReview Baaghi3 COVID COVID JumatBerkah AAA,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 PhonePe_ I have received a call and msg from Galactus Funware Technology Pvt Ltd has requested money from you on PhonePe Rs 4250 will be debited from your account on approving the request Phishing IndiaFightsCorona fraud PhonePe Phonepesupport,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 dbsbank PhonePe_ PhonePeSupport For COVID2019india pandemic Whole country is Donated and still donating for free treatments buying Protective Goods Kits Quarantine centers Then Why some company is asking for insurance policy in india IndiaFightsCorona PMOIndia,DONATION,DONATION,question,0,DONATION
 i4India EachRupeeCounts PMCaresFunds phonepe kartejabadteja CoronaStopKaroNa IndiaFightsCorona,DONATION,DONATION,Donation,1,DONATION
 Team PhonPe can you mark  and two milestones lakh donors and Cr donations by displaying a diya icon during the mins What say rahulchari9 PhonePe_ PhonePeSupport PMCARESFund PhonePe IndiaFightsCorona,REQUEST,REQUEST,Request,1,REQUEST
 Date Location Sodepur West Bengal Distributed by Swati Welfare Foundation For donations Google pay-9874617187 Phone pe-9874617187 IndiaFightsCorona,DONATION,DONATION,Donation,1,DONATION
 Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe PhonePe_ Vinaypratap1986 vishvajitnilu,DONATION,DONATION,Donation,1,DONATION
 Let give a historical turn to i4india lohcheb Vikas11p Kamal74991982 PhonePe_ COVID2019 i4india PMCARES IndiaFightsCorona AAA,DONATION,DONATION,Request,1,DONATION
 Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe PhonePe_ Vinaypratap1986 vishvajitnilu AAA,DONATION,DONATION,Donation,1,DONATION
 ItAAAs time to stand for India Join the i4India Movement and be there for your country AA Donate to the PMCARESFund i4India PhonePe IndiaFightsCorona COVID2019 Kamal74991982 Vikas11p Donate here,DONATION,DONATION,Donation,1,DONATION
 Indiafightscorona PMCaresfund PhonePe i4India,DONATION,DONATION,Donation,1,DONATION
 Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe PhonePe_ vipulmanglik Vikas11p vishvajitnilu,DONATION,DONATION,Donation,1,DONATION
 Kamal74991982 KAbhideep DonateKaroNaIndia i4India IndiaFightsCorona PhonePe AAA,DONATION,DONATION,,0,DONATION
 vipulmanglik ItAAAs time to stand for India Join the i4India Movement and be there for your country AA Donate to the PMCARESFund i4India PhonePe IndiaFightsCorona COVID2019 Kamal74991982 Vikas11p Donate here,DONATION,DONATION,Donation,1,DONATION
 Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe Phonepe,DONATION,DONATION,Donation,1,DONATION
 Thank you rakvedi ji TheHockeyIndia anirbangolf ji CentralIfs Yusuffali_MA ji millions of others for coming fwd contributing to PMCARESFund supporting narendramodi Ji efforts Excellent initiative by PhonePe_ to start the DP campaign IndiaFightsCorona AAAAAAAAAAAA,DONATION,DONATION,Appreciation,0,DONATION
 i4India PhonePe IndiaFightsCorona,DONATION,DONATION,,0,DONATION
 narendramodi PMOIndia rahulchari9 PhonePe_ PhonePeSupport Please do your bit to PMCARESFund on PhonePe PMCARESFund i4India EachRupeeCounts IndiaFightsCorona,DONATION,DONATION,Request,1,DONATION
 Kamal74991982 IndiaFightsCorona DonateKaroNaIndia PhonePe i4India AAA,DONATION,DONATION,,0,DONATION
 i4india is top trending hashtags on Twitter i4india PhonePe_ PMCaresFunds IndiaFightsCorona on every donation phonep adding on it In this tough time we have to be Human and show our humanity AAA,DONATION,DONATION,,0,DONATION
 PMOIndia IndiaFightsCorona KOI BHUKHA NA SOYE ABHIYAN They need our help during this critical situation So we distributed rice atta dal biscuits to almost families Humse jitna ho sake hum kar rehe hai app bhi kijie Please Donate Gpay Phonepe Paytm,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 If we can fight together we can win this fight   IndiaFightsCorona,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 i4India now crore pledge Come on india IndiaFightsCorona DonateToPMCares Fund and help build a healthier and stronger nation PhonePe_ Vikas11p,DONATION,DONATION,,0,DONATION
 Join the i4India movement help India fight Corona by donating to the PMCaresFund Let also show our support to all healthcare police and emergency services personnel who are toiling hard to keep us safe by setting the below as our profile IndiaFightsCorona PhonePe_,DONATION,DONATION,,0,DONATION
 Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe PhonePe_,DONATION,DONATION,,0,DONATION
 Its time for all to step up i4India IndiaFightsCorona phonepe_ PMOIndia narendramodi,DONATION,DONATION,,0,DONATION
 PhonePe_ i4India Everycontriutiondoesmatter savenation SaveLives IndiaFightsCorona Hello People I have done my contribution  Did u ,DONATION,DONATION,,0,DONATION
 IndiaFightsCorona,NULL,NULL,Request,0,REQUEST
 It time for all to step up i4India IndiaFightsCorona PhonePe_ PMOIndia narendramodi,DONATION,DONATION,,0,DONATION
 PMCaresFunds IndiaFightsCorona i4ndiamovement phonepe phonepe_,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ i4India IndiaFightsCorona DonateIndia PMCaresFunds EachRupeeCounts PhonePe will add AAA10 to everyone contribution up to AAA100 Crore,DONATION,DONATION,Donation,1,DONATION
 COVID2019 PMCaresFunds IndiaFightsCorona,DONATION,DONATION,,0,DONATION
 pmcares PhonePe i4India COVID2019 Covid19India DonateToPMCares IndiaFightsCorona ModiOnCorona CoronaStopKaroNa Do phonepe for a better nation and for a change NationalEmergency,DONATION,DONATION,Donation,1,DONATION
 We are likely providing food to daily wage workers and poor people please donate money to us we are collecting funds to fill basic needs of poor Phonepe tez paytm italystaystrong Italycorona IndiaFightsCorona Telangana USA SpainCoronaVirus,DONATION,DONATION,Help Covid-19,1,DONATION
 JAI HIND Common India Let Donate PMCaresFund IndiaFightsCorona i4india movement phonepe PhonePe_,DONATION,DONATION,Donation,1,DONATION
 Common India let Donate PMCaresFunds i4India IndiaFightsCorona phonepe PhonePe_,DONATION,DONATION,Donation,1,DONATION
 DonateKaroNaIndia PhonePe IndiaFightsCorona PMReliefFund I Support i4India Plz plz Donate kre PMCaresFunds Jai Hind jai bharat ,DONATION,DONATION,Donation,1,DONATION
 PMCaresFund IndiaFightsCorona i4Indiamovement PhonePe PhonePe_,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ i4india IndiaFightsCorona it time to support and care for india plz donate to pmcarefund jai hind jai bharat AAA,DONATION,DONATION,Request,1,DONATION
 PhonePe_ i4India PMCaresFunds IndiaFightsCorona EachRupeeCounts PayThroughPhonePeApp,DONATION,DONATION,,0,DONATION
 i4India PhonePe_ I stand for my matrabhumi  Ek choti si koshish Desh k naam Aap bhi DonateKaroNaIndia Let come forward for ur country Narendra_Modi_ji IndiaFightsCorona AAA,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 IndiaFightsCorona DigitalIndia PhonePe i4India npci UPI SocialDistanacing proudindian,DONATION,DONATION,,0,DONATION
 I request all of u plz Donate PMCaresFunds IndiaFightsCorona phonepe PhonePe_ sudhirchaudhary narendramodi,REQUEST,REQUEST,Request,1,REQUEST
 narendramodi PMOIndia PhonePe_ PhonePeSupport rahulchari9 Thank you every indian to made this possible  i4India EachRupeeCounts PMCaresFunds PMCaresFund IndiaFightsCorona IndiaFightsCOVID19,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Richest people in India businessmen actors politicians  paytm googlepay phonepe whatsapp snapchat girls PMCaresFunds CMReliefFund IndiaFightsCorona,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PhonePe IndiaFightsCorona,NULL,NULL,,1,NULL
 DAY  FEED INDIA DRIVE WE ARE FEEDING DAILY WAGERS Paytm google pay Phone pe Sansarita Jeevan Foundation HRDMinistry cmohry ArvindKejriwal CoronaWarrior Coronafighters IndiaFightsCorona DonateKaroNa,DONATION,DONATION,Help Covid-19,1,DONATION
 Modes of transfer Money transfer NEFT RTGS IMPS UPI Phone pe Google Pay Paytm Filhaal Cash Cheque chhodkar sabh accept karta hu Jyada charbi ho to mere account me transfer kar dena PKMKB PKMKBForever IndiaFightsCorona Pakistan ImranKhan ProudIndian,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 narendramodi PMOIndia PhonePe_ My little contribution for my country AAAAAAAA IndiaFightsCorona PMCARES,DONATION,DONATION,Help Covid-19,1,DONATION
 narendramodi rsprasad PhonePe_  Little contribution from me and my friend  IndiaFightsCorona IndiaBattlesCOVID19 IndiaFightsCOVID19,DONATION,DONATION,Help Covid-19,1,DONATION
 IndiaFightsCorona modisaysindiafirst PhonePe,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
